status	label	forms
map	earth system models	earth system models ; earth system model ; modèles du système terrestre ; earth system models
map	economic development	economic development ; development economic ; développement économique ; economic development
map	economic growth	economic growth ; croissance économique
map	ecosystem	ecosystem ; ecosystems ; Ecosystems ; écosystème ; ecosystem
map	ecosystem carbon	ecosystem carbon ; Ecosystem carbon ; carbon ecosystem ; carbone de l'écosystème ; ecosystem carbon
map	ecosystem function	ecosystem function ; ecosystem functions ; function of the ecosystem ; fonction de l'écosystème ; ecosystem function
map	ecosystem functioning	ecosystem functioning ; functioning of ecosystems ; functioning ecosystems ; functioning of this ecosystem ; functioning of the ecosystems ; functioning of these ecosystems ; ecosystem and the functioning ; fonctionnement de l'écosystème ; ecosystem functioning
map	ecosystem processes	ecosystem processes ; ecosystem process ; processus écosystémiques ; ecosystem processes
map	ecosystem respiration	ecosystem respiration ; respiration de l'écosystème
map	ecosystem services	ecosystem services ; ecosystem service ; Ecosystem services ; ecosystems services ; services ecosystems ; Ecosystem service ; ecosystems and the services ; services of the ecosystems ; services the ecosystems  ; ecosystem goods and services ; ecosystem services and goods ; services écosystémiques ; ecosystem services
map	ecotone	ecotone ; ecotones ; ecotone
map	ectotherms	ectotherms ; ectothermes
map	effects of global warming	effects of global warming ; effect of global warming ; global warming effects ; global warming effect ; effects of climate warming ; climate warming effects ; effets du réchauffement climatique ; effects of global warming
map	electricity generation	electricity generation ; generation of electricity ; production d'électricité ; electricity generation
map	elevated CO2	elevated CO2 ; Elevated CO2 ; high CO2 ; elevated carbon dioxide ; CO2 élevée ; elevated CO2
map	elevated temperature	elevated temperature ; elevated temperatures ; Elevated temperature ; temperature and elevated ; température élevée ; elevated temperature
map	elevation gradient	elevation gradient ; elevation gradients ; gradients in elevation ; gradients of elevation ; gradient of elevation ; elevational gradient ; elevational gradients ; gradient d'élévation ; elevation gradient
map	emission factors	emission factors ; emission factor ; emissions factors ; facteurs d'émission ; emission factors
map	emission reduction	emission reduction ; emissions reduction ; emission reductions ; emissions reductions ; reduction of emissions ; reduction in emissions ; reductions in emissions ; reduction in emission ; réduction des émissions ; emission reduction
map	emission scenarios	emission scenarios ; emission scenario ; emissions scenarios ; emissions scenario ; scénarios d'émissions ; emission scenarios
map	emissions from deforestation	emissions from deforestation ; émissions provenant de la déforestation
map	emissions trading	emissions trading ; emission trading ; échange de quotas d'émissions ; emissions trading
map	end of the 21st century	end of the 21st century ; end of 21st century ; late 21st century ; end of the twenty-first century ; twenty-first century end ; fin du 21e siècle ; end of the 21st century
map	endangered species	endangered species ; espèces en voie de disparition
map	endemic species	endemic species ; species endemic ; espèces endémiques ; endemic species
map	energy balance	energy balance ; energy balances ; bilan énergétique ; energy balance
map	energy budget	energy budget ; energy budgets ; budget de dépense énergétique ; energy budget
map	energy consumption	energy consumption ; Energy consumption ; consumption of energy ; consommation d'énergie ; energy use ; Energy use ; use of energy ; use energy ; use of this energy
map	energy demand	energy demand ; energy demands ; demand for energy ; demand of energy ; demands for energy ; demand in energy ; demande d'énergie ; energy demand
map	energy efficiency	energy efficiency ; Energy efficiency ; efficiency of energy ; efficiency of the energy ; efficacité énergétique ; energy efficiency
map	energy policy	energy policy ; energy policies ; policy energy ; politique énergétique ; energy policy
map	energy production	energy production ; production of energy ; energy through production ; production d'énergie ; power generation ; generation of power
map	energy resources	energy resources ; energy resource ; energy and resources ; resources for energy ; ressources énergétiques ; energy resources
map	energy saving	energy saving ; energy savings ; économie d'énergie ; energy saving
map	energy security	energy security ; Energy security ; sécurité énergétique ; energy security
map	energy sources	energy sources ; energy source ; source energy ; source of energy ; sources of energy ; sources d'énergie ; energy sources
map	energy supply	energy supply ; energy supplies ; supply of energy ; supplies of energy ; supply energy ; réserve d'énergie ; energy supply
